           4            5   			 1.736797822308129771e-15   			 2.358140302232458360e-15   			 -6.213424799243285890e-16
           3            6   			 1.302598366731096821e-16   			 1.710929401044082222e-16   			 -4.083310343129854010e-17
           2            7   			 6.280384982453501602e-18   			 8.080426216939975389e-18   			 -1.800041234486473787e-18
           1            8   			 1.766358276315047535e-19   			 2.223817140433277679e-19   			 -4.574588641182301440e-20
           0            9   			 2.207947845393809120e-21   			 4.508610705924901135e-22   			 1.757086774801319006e-21
          10            0   			 3.399645166087835508e-12   			 7.746100327320289943e-13   			 2.625035133355806514e-12
           9            1   			 3.824600811848813132e-12   			 1.075728889852656180e-11   			 -6.932688086677748668e-12
           8            2   			 1.936204160998461322e-12   			 3.525767055952525641e-12   			 -1.589562894954064319e-12
           7            3   			 5.808612482995381701e-13   			 8.786696325424625124e-13   			 -2.978083842429243423e-13
           6            4   			 1.143570582589715334e-13   			 1.580977742673139764e-13   			 -4.374071600834244300e-14
           5            5   			 1.543820286496115614e-14   			 2.032523154698414256e-14   			 -4.887028682022986420e-15
           4            6   			 1.447331518590108069e-15   			 1.851461891509985230e-15   			 -4.041303729198771609e-16
           3            7   			 9.304274048079263209e-17   			 1.169228342785774793e-16   			 -2.388009379778484722e-17
           2            8   			 3.925240614033440297e-18   			 4.875917471240440946e-18   			 -9.506768572070006487e-19
           1            9   			 9.813101535083597752e-20   			 1.198797822350650174e-19   			 -2.174876688422903988e-20
           0           10   			 1.103973922696904223e-21   			 2.205225026539786060e-22   			 8.834514200429256169e-22
          11            0   			 1.373594006500135707e-11   			 2.865546602834716772e-12   			 1.087039346216664030e-11
          10            1   			 1.699822583043917236e-11   			 4.306950608097404808e-11   			 -2.607128025053487572e-11
           9            2   			 9.561502029622033559e-12   			 1.633365445408828981e-11   			 -6.772152424466256250e-12
           8            3   			 3.227006934997435372e-12   			 4.678703208833495405e-12   			 -1.451696273836060033e-12
           7            4   			 7.260765603744227682e-13   			 9.729480768910840720e-13   			 -2.468715165166613038e-13
           6            5   			 1.143570582589715334e-13   			 1.468415538293157048e-13   			 -3.248449557034417140e-14
           5            6   			 1.286516905413429613e-14   			 1.610994463962322695e-14   			 -3.244775585488930820e-15
           4            7   			 1.033808227564362929e-15   			 1.274528113183738959e-15   			 -2.407198856193760301e-16
           3            8   			 5.815171280049542166e-17   			 7.098512533874231209e-17   			 -1.283341253824689043e-17
           2            9   			 2.180689230018578017e-18   			 2.644372985756015028e-18   			 -4.636837557374370110e-19
           1           10   			 4.906550767541797380e-20   			 5.866765749989807066e-20   			 -9.602149824480096861e-21
           0           11   			 5.018063284985928845e-22   			 9.860540078262562358e-23   			 4.032009277159672609e-22
          12            0   			 5.087385209259762165e-11   			 9.829150417169997129e-12   			 4.104470167542762452e-11
          11            1   			 6.867970032500676440e-11   			 1.590679505725932588e-10   			 -9.038825024758649440e-11
